Country,Continent,Total_Summer_Medals,Total_Winter_Medals,Total_Combined_Medals
United States of America,North America,2629,330,2959
Russia,Europe,1514,364,1878
United Kingdom,Europe,916,34,950
Germany,Europe,655,267,922
France,Europe,751,138,889
Italy,Europe,618,141,759
China,Asia,634,77,711
Sweden,Europe,503,176,679
Japan,Asia,497,76,573
Norway,Europe,163,405,568
Australia,Oceania,547,19,566
Canada,North America,326,225,551
Hungary,Europe,511,10,521
Finland,Europe,305,175,480
Netherlands,Europe,322,147,469
Switzerland,Europe,206,168,374
South Korea,Asia,287,79,366
Austria,Europe,96,250,346
Poland,Europe,298,23,321
